file_id,cluster_id_x,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,cluster_id_y,ivd_t5,pairs_t5,sentences_t5,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_minilm_hdbscan_35,8.5,0.496952015,0.300141996,0.04,0.473684211,0.566735309,0.290647765,0.09,0.586549708,0.443707034,0,0.0263157895,,8.5,2.214912281,5.15,2.45,1.281061821,11.5,9.45,1.684210526,1.684210526,1,8.5,0.104173442,0.737051335,0.15488432,0.69037093,0.116129688,0.807888293
cluster_minilm_hdbscan_45,6.0,0.519093917,0.361128755,0.0466666667,0.46031746,0.570073165,0.291318155,0.0733333333,0.514285714,0.441653447,0,0.0357142857,,6.0,1.422222222,3.666666667,2.733333333,1.365478836,11.8,9.2,0.642857143,0.642857143,1,6.0,0.106698156,0.742334003,0.140641448,0.703692429,0.122895361,0.803151194
cluster_minilm_hdbscan_55,3.0,0.498327821,0.284374591,0.0333333333,0.390277778,0.543685754,0.307012416,0.1,0.393055556,0.411737099,0,0.075,,3.0,1.416666667,3.444444444,2.444444444,1.348919753,11.11111111,8.444444444,0.5,0.5,1,3.0,0.0878326874,0.735331811,0.132111839,0.693556365,0.0856969226,0.815824253
cluster_minilm_hdbscan_60,3.0,0.465715142,0.22041674,0.0555555556,0.3625,0.545937671,0.312197147,0.122222222,0.4375,0.407911338,0,0.075,,3.0,1.481481481,3.666666667,3.222222222,1.362345679,10.66666667,8.0,0.5,0.5,1,3.0,0.0797007584,0.738576469,0.138688763,0.689900026,0.120654033,0.81026252
cluster_mpnet_hdbscan_100,0.0,0.434024046,0.3381115,0.1,0.4,0.443963726,0.255647307,0.0666666667,0.45,0.286812209,0,0.05,,0.0,2.944444444,7.666666667,2.666666667,1.160714286,6.666666667,6.333333333,2.0,2.0,1,0.0,0.0473729974,0.748721698,0.074901544,0.717733658,0.0706712045,0.805229801
cluster_mpnet_hdbscan_2,268.5,0.590818602,0.269216599,0.037037037,0.529326796,0.716235518,0.275920373,0.108333333,0.883369408,0.530638938,0,0.027458256,,268.5,1.354074074,2.955555556,2.305555556,1.291998703,10.18148148,8.531481481,1.100185529,1.100185529,1,268.5,0.225836915,0.665354356,0.467041369,0.528369923,0.209270816,0.789041121
cluster_mpnet_hdbscan_30,6.5,0.452691827,0.205920049,0.05625,0.386666667,0.567814585,0.279160825,0.14375,0.66,0.417500715,0,0.0333333333,,6.5,2.622222222,4.625,2.1875,1.231944444,11.125,9.6875,1.666666667,1.666666667,1,6.5,0.0581450458,0.744909799,0.171832851,0.679669818,0.0990931141,0.805306183
cluster_mpnet_hdbscan_35,6.5,0.475350562,0.219152854,0.0375,0.373333333,0.576064877,0.273786526,0.125,0.606666667,0.431959874,0,0.0333333333,,6.5,1.555555556,3.25,2.125,1.190244391,10.0,9.125,1.4,1.4,1,6.5,0.0902587375,0.741464541,0.176415329,0.676401632,0.113946835,0.808051607
cluster_mpnet_hdbscan_40,5.0,0.433019572,0.296383395,0.0230769231,0.316666667,0.555540646,0.283918626,0.130769231,0.55,0.421843544,0,0.0333333333,,5.0,1.541666667,3.153846154,2.076923077,1.429481309,10.84615385,8.461538462,1.416666667,1.416666667,1,5.0,0.0893677902,0.74104139,0.156673001,0.683339138,0.109913315,0.804376946
cluster_mpnet_hdbscan_45,2.5,0.452236272,0.284877029,0.0125,0.328571429,0.519845944,0.28535871,0.125,0.528571429,0.392573044,0,0.0285714286,,2.5,1.260416667,3.375,2.625,1.563538024,13.75,9.25,1.714285714,1.714285714,1,2.5,0.0828144652,0.732194662,0.130178079,0.704050341,0.103623351,0.812946541
cluster_mpnet_hdbscan_50,3.0,0.422781321,0.340844649,0.0666666667,0.4875,0.529589401,0.28381377,0.133333333,0.5875,0.425927093,0,0.025,,3.0,2.0,4.333333333,2.333333333,1.429494117,12.77777778,9.222222222,0.5,0.5,1,3.0,0.0896064263,0.728256322,0.14138859,0.688251028,0.11985636,0.806343276
