cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,file_id,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
127,0.7088131904602051,0.2742924690246582,0.1,0.6666666666666666,0.0,cluster_minilm_hdbscan_2,0.8296549320220947,0.19648410379886627,0.2,1.0,0.6,0.7061477899551392,0.0,0.1,,0.0
128,0.7529224753379822,0.39049994945526123,0.1,0.8888888888888888,0.5,cluster_minilm_hdbscan_2,0.7560372352600098,0.2571900188922882,0.2,1.0,0.8,0.6442254781723022,0.0,0.1,,0.0
129,0.6645979881286621,0.21742455661296844,0.1,0.6666666666666666,0.0,cluster_minilm_hdbscan_2,0.7465816736221313,0.2875840663909912,0.2,1.0,0.5454545454545454,0.5052062273025513,0.0,0.1,,0.0
130,0.7840545773506165,0.17265622317790985,0.0,0.5555555555555556,1.0,cluster_minilm_hdbscan_2,0.8769689798355103,0.3700276017189026,0.1,1.0,1.2,0.7245659828186035,0.0,0.1,,1.0
131,0.4771575927734375,0.3607582151889801,0.1,0.6666666666666666,0.0,cluster_minilm_hdbscan_2,0.7568188905715942,0.3731425702571869,0.1,1.0,0.4,0.5136603713035583,0.0,0.1,,0.0
132,0.44789424538612366,0.1741243153810501,0.1,0.3333333333333333,0.3333333333333333,cluster_minilm_hdbscan_2,0.5403755903244019,0.38870179653167725,0.1,0.5555555555555556,1.1666666666666667,0.3490033745765686,0.0,0.1,,2.0
133,0.6631938815116882,0.29207906126976013,0.1,0.3333333333333333,1.0,cluster_minilm_hdbscan_2,0.8513078689575195,0.3562227785587311,0.1,1.0,0.8571428571428571,0.6574006080627441,0.0,0.0,,1.0
134,0.5422323346138,0.2870815694332123,0.0,0.1111111111111111,0.5,cluster_minilm_hdbscan_2,0.6774728298187256,0.32108592987060547,0.1,1.0,1.0,0.48632052540779114,0.0,0.0,,1.0
135,0.5288885831832886,0.08450782299041748,0.0,0.0,0.5,cluster_minilm_hdbscan_2,0.7164567708969116,0.30098554491996765,0.1,0.7,0.8461538461538461,0.5965423583984375,0.0,0.0,,2.0
136,0.36434200406074524,0.0,0.0,0.0,0.0,cluster_minilm_hdbscan_2,0.657243013381958,0.2718998193740845,0.1,1.0,0.7,0.44101670384407043,0.0,0.0,,2.0
